H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
178.19208,320.61462,1.77682,236.80531,1.77682,83.80931,"[80.07982, 80.07982]","[-1.8722601, -1.8722601]","[-2.8907266, -2.8907266]",-22.625967,-31.37944,-41.3347,-22.632175,3,27.664967,-1.7587081,-1.8589151,0.1056583755,-1,1,60.466637,-0.38740256,2.3401637,1.8490846,-1,342.03419201918734,5.594793833210288,346.5106427662397
188.654,218.13535,1.77682,70.11474,1.77682,148.02061,"[106.429474, 106.429474]","[-0.2400696, -0.2400696]","[2.8374858, 2.8374858]",-89.11891,11.985672,-89.54117,10.553062,1,44.715622,-0.13914755,0.8647282,3.9432604,-1,1,38.78536,-0.122168966,-2.968863,5.3136644,-1,342.03419201918734,5.594793833210288,346.5106427662397
183.63777,368.63892,1.77682,93.65755,1.77682,274.98138,"[63.31087, 63.31087]","[2.3023405, 2.3023405]","[-1.2284294, -1.2284294]",0.37590894,3.931031,5.1076326,-1.8350147,1,76.680855,0.44331208,-1.4210978,0.1450634,-1,1,27.329535,3.0723755,1.1562296,7.6293945e-06,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.35393,297.13586,1.77682,157.64284,1.77682,139.49301,"[84.14935, 84.14935]","[-1.7116214, -1.7116214]","[-0.85843116, -0.85843116]",-9.249573,-10.644553,-17.150776,-11.669593,1,49.653694,-1.6167738,-2.6608257,2.0577507,-1,1,112.34128,-0.6464901,-0.33156145,2.9084156,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.04175,227.9877,1.77682,185.36372,1.77682,42.623966,"[114.443306, 114.443306]","[0.74036515, 0.74036515]","[2.9044166, 2.9044166]",-42.91368,10.720438,-53.13045,9.596856,1,87.53345,0.73850906,3.0683875,3.5986035,-1,3,23.6893,-0.5970129,0.4141723,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.23264,183.60548,1.77682,81.54689,1.77682,102.0586,"[9.921997, 9.921997]","[-2.3940318, -2.3940318]","[-1.2350956, -1.2350956]",4.144468,-1.436669,5.092961,-14.318582,3,22.521976,0.2577037,-1.1871665,0.1056583755,-1,1,33.336754,-0.96268284,1.9705126,4.2523727,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.47083,206.31973,1.77682,104.06338,1.77682,102.25636,"[7.0654283, 7.0654283]","[-3.4238591, -3.4238591]","[-2.7639039, -2.7639039]",-1.532171,7.4202785,-4.45834,13.113731,2,29.30142,-0.59744275,1.7230814,0.0005109989499999,-1,3,44.513954,-0.55107737,-1.5234166,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.07198,1427.9644,1.77682,1265.0558,1.77682,162.90857,"[183.36227, 183.36227]","[2.7339919, 2.7339919]","[-1.2574714, -1.2574714]",-15.29764,-14.245673,-1.6285182,-3.2228043,1,203.81763,2.5743139,-0.8846974,7.8180504,-1,1,44.15173,1.9148198,-3.026321,2.780938,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.90108,221.72601,1.77682,163.90977,1.77682,57.816242,"[136.01372, 136.01372]","[-0.06247715, -0.06247715]","[0.7209896, 0.7209896]",79.74121,70.7413,76.07221,84.467224,2,32.79865,0.050329056,1.0356953,0.0005109989499999,-1,1,36.58935,-0.26106134,-1.1646898,8.578192,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.98712,301.91962,1.77682,197.22736,1.77682,104.69226,"[217.33055, 217.33055]","[0.50849557, 0.50849557]","[-1.4770862, -1.4770862]",5.102228,-128.92296,13.068528,-149.85612,1,48.168957,0.74658304,-1.9219419,0.14807598,-1,1,54.8971,-0.11645615,-0.84987104,3.8738084,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.10399,183.48422,1.77682,85.739716,1.77682,97.74451,"[48.51864, 48.51864]","[-0.5042309, -0.5042309]","[1.2702781, 1.2702781]",18.847485,1.1729492,5.3761005,9.023684,1,80.8479,-0.44439018,2.9933264,5.417515,-1,1,82.51132,0.10755247,0.35820833,1.6716998,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.217,397.402,1.77682,318.84506,1.77682,78.556946,"[15.645597, 15.645597]","[-3.819342, -3.819342]","[0.60865235, 0.60865235]",22.716526,-30.321102,10.125498,-13.57225,1,44.82486,-2.3250608,-0.96358514,3.7830608,-1,1,67.4318,-0.6444353,1.9361389,1.8929452,-1,342.03419201918734,5.594793833210288,346.5106427662397
176.07463,1107.7878,1.77682,72.81996,1.77682,1034.9679,"[95.950226, 95.950226]","[-3.1247146, -3.1247146]","[2.5936694, 2.5936694]",-1.8098257,6.779717,-26.312199,13.8912525,1,26.576311,-1.2842046,0.13204774,2.2376947,-1,1,112.9944,-2.7641318,2.7669065,4.8416147,-1,342.03419201918734,5.594793833210288,346.5106427662397
